,text,character
4268,"No, I said I'd get you a pizza afterwards. Look, could we talk about this later? I'm sort of professing my love here.",Ted
4269,Okay. Let's talk.,Robin
4270,"Okay. Oh, hey, you guys want to take five?",Ted
4271,"Thanks, guys. Just need a minute. Sort of a big life decision. Love the blue instruments, though. Kind of an inside joke. Thanks. <em>(The musicians leave)</em> You're crazy.",Robin
4272,Right. Come on.,Ted
4273,"It's not that I haven't thought about this. You know that I have, but let's look at this, okay? We only just started being friends again.",Robin
4274,I know. But... come on...,Ted
4275,"And we want different things. That's still there. That's not going away. I mean, what if we do this and it doesn't work out and I'd lose you as a friend? I gotta think about this.",Robin
4276,"Okay, fine. Think about it on the plane. Let's go to Paris for the weekend. I'm serious. I'm kidding. I'm serious.",Ted
4277,"I can't go to Paris, I'm going camping.",Robin
4278,I thought that thing was canceled.,Ted
4279,"Well, it's back on.",Robin
4280,Since when?,Ted
4281,Since like an hour ago.,Robin
4282,You're leaving?,Robin
4283,"Oh, congratulations.",Robin
4284,What do you mean?,Robin
4285,"Wow. Thanks. And, yes.",Robin
4286,"Yes, let's go get dinner.",Robin
4287,"Oh, you're kidding me. No way. Don't go on this thing.",Ted
4288,"Ted, I have to go. It's a company camping trip.",Robin
4289,Really? Because it also kinda sounds like a date. With Sandy... and his weenie. I mean is this not a date?,Ted
4290,I don't-I don't know.,Robin
4291,"So, what? You actually like this guy now?",Ted
4292,I don't know.,Robin
4293,Are you gonna hook up with him?,Ted
4294,I don't know.,Robin
4295,"Yes, you do.",Ted
4296,"No, Ted, I don't. And you know what? That's okay. I don't plan out every second of my life like you do.",Robin
4297,I don't plan out every...,Ted
4298,"Oh, really? What is all of this? I mean, why can't you just say, &quot;Hey, Robin, let's go get some sushi?&quot; No, it has to be a-a string quartet and-and Paris and flowers and chocolates and let's spend the rest of our lives together.",Robin
4299,"Don't you think we're a little bit past sushi at this point? God, you are so terrified of anything real. It's like you're floating out in space. Touch the ground, Robin. Live in the world, make a mistake. Make this mistake.",Ted
4300,I need to think about this.,Robin
4301,Fine.,Ted
4302,"No, I'm sorry, I... I can't do this anymore. I need an answer.",Robin
4303,"If you want me to say yes right now, I-I can't do that.",Ted
4304,"Well, if it's not yes, then it's a no.",Robin
4305,Then I guess it's not meant to be.,Ted
4306,"Nice try, buddy.",Barney
4307,Look at the bright side. At least you got some closure. She's made her choice and you can finally move on.,Marshall
4308,Screw that. This ain't over.,Ted
4309,"Ted, you sat here in this very booth and you said...",Marshall
4310,"I don't care what I said. This is gonna happen. She can't say it's not meant to be. It is meant to be, and you know why? 'Cause I mean it to be.",Ted
4311,Unpause?,Lily
4312,Unpause.,Marshall
4313,A painting fellowship?,Marshall
4314,I was never going to take it.,Lily
4315,In California?,Marshall
4316,I was never going to take it.,Lily
4317,"Ted, she is going on that camping trip. Dude, barring some act of God, Robin's gonna be with Sandy this weekend.",Barney
4318,"Fine. If an act of God is what it takes, then an act of God it is.",Ted
4319,What are you talking about?,Barney
4320,I'm gonna make it rain. I can't let Robin go camping with this guy. So how do I keep that from happening? Simple... I make it rain!,Ted
4321,"Ted, do you want me to slap you again? 'Cause I kind of enjoyed it the first time.",Barney
4322,"Look, I-I might be crazy right now... No, you know what? I am definitely crazy right now, but I have a plan. That girl you used to go out with, Penelope, wasn't she getting her PhD in Native American culture?",Ted
4323,Yeah.,Barney
4324,Are you still in touch with her?,Ted
4325,"Sure. I mean, even though we stopped having sex, we still get together, like, once a month to chat and catch up, and of course I'm not in touch with her!",Barney
4326,"Well, you're gonna need to get in touch with her. She's gonna teach me how to do a rain dance.",Ted
4327,Did you just say a &quot;rain dance&quot;?,Barney
4328,Yes.,Ted
4329,A rain dance.,Barney
4330,Yes.,Ted
4331,A dance to make it rain.,Barney
4332,Yes. <em>(Barney slaps him once again and Ted slaps him back. Barney tries again to slaps Ted but he stops him)</em> We're finding Penelope!,Ted
4333,"No, we are not!",Barney
4334,"Yes, we are!",Ted
4335,"Ted, you're forcing me to be the voice of reason, and it's not a good look for me!",Barney
4336,"Come on, I know it didn't work out between us, but we did... have a relationship.",Barney
4337,Twice!,Barney
4338,Shh!,Barney
4339,"Penelope, I really need to make it rain this weekend.",Ted
4340,There's this girl...,Ted
4341,"Penelope, this is the girl I love. If it doesn't rain this weekend, she's gonna end up with the wrong guy. Please.",Ted
4342,Absolutely.,Ted
4343,Kind of.,Ted
4344,Hey.,Barney
4345,We weren't exclusive!,Barney
4346,"Wow, it took five shots of tequila to get you in that position.",Barney
4347,There's so much of your mom in you.,Barney
4348,And she's been throwing up ever since.,Robin
4349,"Remember that guy, Ted, that I was telling you about? Well, I came home and I found him waiting in my apartment with a string quartet and roses and chocolates...",Robin
4350,"Okay, yes, it's sweet in theory, but isn't it also kind of crazy? I mean, a string quartet in my living room... who does that?",Robin
4351,Exactly.,Robin
4352,So you're saying you would forbid me from going?,Lily
4353,"Forbid? Who said forbid? I was just reminding you that there's this wedding coming up in a couple of months, and I was kind of hoping you'd save the day. Look for me... I'll be the guy in the awesome suit. Come on, Lily. It's what you've always wanted.",Marshall
4354,"Yeah, but there's a lot of things I've always wanted, and I haven't done any of them. I'm sorry. I just need to do this before settling down forever.",Lily
4355,So now we've gone from &quot;I was never gonna do it&quot; to &quot;I need to do this&quot;? Did I leave the room at some point? When did that happen?,Marshall
4356,"Oh, maybe when you said you wouldn't let me do it.",Lily
4357,"I never said that! You know, if you're having these kind of doubts now, what's gonna change in three months? Maybe we just shouldn't get married at all.",Marshall
4358,Maybe not.,Lily
4359,Pause.,Marshall
4360,"So, are you just, like, starving?",Lily
4361,Totally. Red Lobster?,Marshall
4362,"Oh, lobster, lobster, lobster, you are delicious!",Lily
4363,"Oh, God, I love butter sauce! There's nothing bad about it. Say something bad about butter sauce, I dare you.",Marshall
4364,"I wouldn't dare. <em>(Marshall starts crying)</em> Marshall, no. We're on pause. There's no crying in Pauseland! Pauseland is a magical place, with... with popcorn shrimp mountains and butter sauce rivers! Damn it!",Lily
4365,"Ted, this is funny. Still funny. Still fu... And now it's sad.",Barney
4366,"Hey, Penelope, you sure I'm doing this right?",Ted
4367,"Does it, uh, look anything like a real rain dance?",Ted
4368,"Hey, Penelope, have you, uh, have you ever actually seen a rain dance performed?",Ted
4369,No?,Ted
4370,Have you ever seen a rain dance?,Ted
4371,"Terrific. Uh, look, I should run. I'm getting brain surgery from some guy who's seen a couple episodes of E.R. I can't believe this. We've been up here for the past hour making complete asses of ourselves.",Ted
4372,"How did we get here? Couple of days ago, the biggest problem in my life was, did Ted eat the last pudding snack pack in the fridge.",Marshall
4373,I think there's still one left.,Lily
4374,Dibs.,Marshall
4375,Unpause?,Lily
4376,Unpause.,Marshall
4377,Look... I know this sucks. It's just something I'm going through. I'm not asking you to understand it. I'm not asking you to be happy about it. I'm just asking you to support it.,Lily
4378,"I want to, Lily, okay? I really do. But I just can't.",Marshall
4379,Why not?,Lily
4380,"Because you're scaring the hell out of me, that's why not. What if you decide to go be a painter and then you realize I don't fit in to your life anymore, and three months becomes forever? Can you promise me that that's not gonna happen?",Marshall
4381,Marshall...,Lily
4382,"'Cause if you can't promise me that, we shoul just break up right now. I'm not gonna wait around for three months just to have my heart ripped out.",Marshall
4383,"Marshall, I love you.",Lily
4384,Can you promise me that that's not gonna happen?,Marshall
4385,Pause.,Lily
4386,"No, Lily, we cannot pause this anymore. Can you promise me that that's not gonna happen?!",Marshall
4387,Pause!,Lily
4388,"Why do you want me to pause?! (<em>She throws herself on him et kisses him</em>) That's just a great use of the pause function, baby.",Marshall
4389,Thank you.,Lily
4390,"Hey, Ted. Whatcha doing?",Barney
4391,A rain dance.,Ted
4392,"Dude, that's not a rain dance, that's a fat kid with a bee in his pants.",Barney
4393,"Look, I highly doubt the Great Spirit is a stickler for choreography. It's the thought that counts. She's leaving in half an hour.",Ted
4394,These are your awesome years. You're wasting them on this girl. This isn't gonna work!,Barney
4395,Yeah. I know that.,Ted
4396,"Well, then why are you doing this?",Barney
4397,"Because I love her. I love her! I told her that the first night we went out, and here it is, eight months later, and nothing's changed. So yes, I know this isn't gonna work. But it has to work! You hear me, universe? This is Ted Mosby talking! Give me some rain! Come on! Come on! Come on...!",Ted
4398,"Oh, come on!",Barney
4399,How about that? He did it.,Barney
4400,"Robin! Hey, Robin! <em>(Robin opens up her window)</em> Oh, thank God you're here!",Ted
4401,My camping trip got rained out.,Robin
4402,I know. I'm sorry.,Ted
4403,It's not your fault.,Robin
4404,"Yeah, it is. Come down here.",Ted
4405,It's pouring. You come up.,Robin
4406,"No, you have to come down here.",Ted
4407,Why?,Robin
4408,"Why? Because I made it rain, that's what I did today! And that's enough. I-I've done my part. Now, get down here!",Ted
4409,"I'm not dressed, Ted. No. Come up.",Robin
4410,"I'm not coming up there, Robin, I'm not. You have to come down here!",Ted
4411,I was gonna...,Robin
4412,I know.,Ted
4413,"OK, where was I? It was June 2006 and life had just taken an unexpected turn.",Ted
4414,"Honey, all this stuff I'm telling you is important. It's all part of the story.",Ted
4415,"No. The summer of 2006 was both wonderful and awful. For me, it started out great. <em>(In 2006, Ted and Robin are kissing after the rain dance)</em> In fact, day one was amazing. I'd finally gotten together with Robin. But while I'd been off having one of the best nights of my life, your Uncle Marshall had been having one of the worst nights of his <em>(Ted finds Marshall on their stairs, holding in his hand Lily's engagement ring).</em>",Ted
4416,So that's it? We're breaking up?,Marshall
4417,"Marshall, I'm sorry. I just... I just need to go to San Francisco and do this art program and figure out who I am outside of us. And the only way that I can do that is if we don't talk for a while.",Lily
4418,"For a while? Try never, OK? You walk out that door and we're done. You're never gonna hear my voice again.",Marshall
4419,I should call her.,Marshall
4420,"No! No! If you call her, when she asked you not to, you're just gonna look weak and you're gonna regret it. Now, listen. Whenever you feel like calling her, you come find me first... and I will punch you in the face.",Ted
4421,You're a good friend Ted.,Marshall
4422,"Hey! So, did you hear the big news?",Robin
4423,"You mean how Lily and Marshall broke up and Lily is gone and nothing else even remotely important happened last night? Yeah, I think he knows.",Ted
4424,Oh my god! I... I'm so sorry. What happened?,Robin
4425,"Well, she left. And I don't even know if she's coming back.",Marshall
4426,"I didn't get your message until I woke up. Bro, I am so sorry.",Barney
4427,Thanks.,Marshall
4428,I know it must be tough. But are you ready to hear something that will not only make you feel better but will actively excite you?,Barney
4429,Sure.,Marshall
4430,"For the first time ever, the three of us are single at the same time. I've dreamed about this day boys and it's going to be legendary! Together, we will own this city. Any time, a girl wants to get back at her ex-boyfriend, we'll be there. Any time a girl wants to solve her father issues through promiscuity and binge-drinking, we will be there. Any time a bachelorette party drives through the city in a limo sticking their heads out, shouting &quot;What's up New York?&quot; we will be what is up New York! Gentlemen, we are about to embark on... <em>(While he's speaking, Barney looks at Ted and then at Robin).</em> Oh man, you guys did it, didn't you?!",Barney
4431,Hey Marshall.,Ted
4432,Hey Ted.,Marshall
4433,Are you hungry?,Ted
4434,"What's the point? I could it some food, it's just gonna leave me.",Marshall
4435,"At least in that scenario, you get to do the dumping. Come on, it's Sunday, it's pancakes day!",Ted
4436,"Lily always made the pancakes. God, I loved her pancakes. So soft. So warmed. So perfectly shaped.",Marshall
4437,"Are we still talking about her pancakes? Come on, you gotta eat something. What can I get you?",Ted
4438,Beer.,Marshall
4439,"No, that's what you had for dinner.",Ted
4440,Fine. Than I'll just have the leftover,Marshall
4441,"So he stays home all the time not getting laid? No, see, that's what you do when you have a fiancée. He should be down here celebrating. He's free. He got that red-head-tumor removed.",Barney
4442,You should write and illustrate children's books.,Ted
4443,"You know what Marshall needs to do? He needs to stop being sad. When I get sad, I stop being sad and be awesome instead. True story.",Barney
4444,"It's only been a month. He just needs to goat his own pace. Anyway, lily is the one who caused this whole mess.",Ted
4445,"Hey, cut her some slack! She's our friend too. She's just trying to figure out who she is.",Robin
4446,"Figure out who she is? She should call me. I got a whole list. She's selfish, she's immature, she's...",Ted
4447,What?,Robin
4448,"God, your eyes are so blue.",Ted
4449,"Teddy bear... <em>(They kiss, Barney mimes his death with a sword. Ted and Robin look at him and keep kissing)</em>",Robin
4450,"So, I find her shampoo. I guess she left it here. It smells like her. Like lavender and seashells. Hope. Somehow erotic and comforting all at the same time.",Marshall
4451,That's my shampoo.,Robin
4452,Oh. Sorry.,Marshall
4453,I thought he's never go to sleep.,Robin
4454,Uh-oh.,Ted
4455,Already?,Robin
4456,He's calling her. Dammit!,Ted
4457,I don't hear anyth...Ted <em>(going out of the bedroom)</em>: He's calling her! <em>(Tackling Marshall)</em> Argh!,Robin
4458,"Oh! OK, you're right. I won't call her. I will not call her.",Marshall
4459,"Well, I called her. And get this, she changed her number. Well like I'm gonna stalk her or something? Like she's so special?! Like she's the only Lily Aldrin out there? 'Cause there are four others in the San Francisco area alone, and they all seem a lot better than her, based on the brief conversations I had with them!",Marshall
4460,"Yeah. Hey Robin. Anyway, one of the Lily Adrins...",Marshall
4461,"This has to stop! Ted, we just started dating. We agreed we don't wanna move too fast and yet somehow we have a baby. He can't feed himself, he cries a lot, he keeps us up all night...",Robin
4462,Have you tried breast-feeding? Nailed it!,Barney
4463,They were together nine years. It's only been a month and a half. He just needs to go his own pace.,Ted
4464,He slept on our floor last night Ted.,Robin
4465,He watched a scary movie.,Ted
4466,It is time for some tough love. We need to get him out of that apartment. He needs fresh air. He needs sunshine.,Robin
4467,Mmm. Sunshine.,Barney
4468,"Barney, I really don't think this is gonna help.",Marshall
4469,"Do you know why you're not over Lily yet? It's 'cause you can still picture her naked. You can't get over a woman until you can no longer picture her boobs. It's a scientific fact. The average male brain can only store a finite number of boob images, or BPEGs and your hard drive's filled to capacity with Lily's.",Barney
4470,There are a lot of them.,Marshall
4471,"They won't go away until you overwrite them with images of other women's boobs. Now, this journey may take as many as a million boobs so we begin here tonight my friend. Two at the time. Those count as four.",Barney
4472,"Yeah, this is fun, right? We're outside, it's a beautiful day. The Indians are winning!",Ted
4473,"I gotta admit, it is really nice to be outside.",Marshall
4474,"Oh, no. <em>(A man is proposing to his girlfriend. Marshall stands up and throws a hotdog at the engaged couple.)</em>",Ted
4475,"It's all a big lie! She's just gonna break your heart! (Men drag Marshall out of the stadium) You can drag me outta here, but she has no soul!",Marshall
4476,"We've tried everything. Baseball, strippers. The guy still won't eat a damn pancake. I think he's beyond repair.",Ted
4477,"See, this is the problem with guys, you don't know how to deal with heartbreak.",Robin
4478,"So what's your prescription, Dr Oestrogen? Eat H&amp;auml;agen-Dazs and Watch Love actually until your periods sync up? <em>(Ted and Barney laugh)</em>",Barney
4479,"Yeah, that's the stuff.",Robin
4480,Oh my God! How long have you been doing this?,Marshall
4481,"My Dad taught me to sh**t when I was a kid. Now, whenever I'm feeling lonely or depressed, I come here and it reminds me that... g*n are fun!",Robin
4482,"Um, you know, Ted is kinda against g*n.Robin <em>(turning to Marshall, her g*n still in her hand)</em>: That's why Ted never gonna find out about this. Whoa! That sort of got scary with me holding a g*n, didn't it? No, I just mean, please don't tell Ted. You wanna try?",Marshall
4483,"Only hell, yes. Oh yeah, yeah. This is what I needed. I felt so powerless this whole time but this... This is power, this is... <em>(He sh**t and falls down)</em>",Marshall
4484,I should have mention the recoil.,Robin
4485,"I'll hand it to you. When he got home, Marshall was smiling. Did you sleep with him? 'Cause I was actually like three days away from suggesting that.",Ted
4486,"Sometimes, all you need is to get in touch with your feminine side. <em>(We see Marshall sh**ting and laughing maniacally )</em>",Robin
4487,"Well, congratulations. You're the first person to cheer him up all summer. You win.",Ted
4488,Oh! What do I win?,Robin
4489,I'll tell what you win. I'm taking you away this weekend.,Ted
4490,You are? That's so nice!,Robin
4491,"My aunt and uncle have a beach house at Montauk. It's really romantic. My uncle had, like, three affairs there.",Ted
4492,"Wow, it must be a nice house. I saw pictures of your uncle. This is so great. We'll finally get some time alone. Are you sure Marshall is gonna be OK with this?",Robin
4493,"Yeah sure. Absolutely. Dude, I'm doing much better. In fact, take my car.",Marshall
4494,"Really? Hey, thanks. And hey, if you need anything, day or night, just call me. You know what? Please don't call me. What? What's wrong?",Ted
4495,It's Lily's credit card bill. She must have forgotten to switch her address.,Marshall
4496,So?,Ted
4497,I wonder what kind of charges she's making out there.,Marshall
4498,"No, no. No good can come from looking at this. You've made too much progress already.",Ted
4499,"I know, but I just...",Marshall
4500,"August 5, one charge - tickets. To what? George Clinton and the P-Funk All Stars. August 10, one charge, Tennis Emporium. August 18, two charges. Mario's bistro and - get this - Pet Palace. You guys see what it means right?",Marshall
4501,"Wow, Mario's bistro. What a perfect place to whore around.",Lily
4502,"Oh funk legend George Clinton, I am so glad you spotted me at your concert an drag me on stage to dance with you Courteney Cox style.",Lily
4503,"Oh you know, Marshall tried to get me to play tennis for nine years but I didn't do it because I never truly loved him.",Lily
4504,"Oh! A ferret. I'll buy it some food next door at the Pet Palace. I've always wanted one, but Marshall have this secret phobia of ferrets.",Lily
4505,"It was! Oh, I love you funk legend George Clinton.",Lily
4506,That's the craziest thing I've ever heard.,Ted
4507,"Yeah. Why are you afraid of ferrets, they are adorable.",Robin
4508,"Because, Robin, they are like fuzzy tube-shaped rats.",Marshall
4509,Those charges are from a month ago.,Barney
4510,Exactly!,Ted
4511,"For new charges, you have to go to her online account. You can see credit card activity from like two hours ago. But... You know... Don't... <em>(Marshall leaves the bar, running).</em>",Barney
4512,Why do you talk? Why do you talk?,Ted
4513,"He needs her password. Its not like he has her password. Ooh, he has her password. This is... He has her password.",Barney
4514,"There is a charge from earlier today. The Kellet Hotel, on Fifth. I don't believe this. Lily is back in New-York. (...) I can't believe this. Lily's in New-York? I guess I'd been thinking when she got back she's call me. That's the only reason I've been able to hold it together so far this summer.",Marshall
4515,"OK, you know what? I'm calling her.",Marshall
4516,"No! You're not calling her. This changes nothing. <em>(To Barney)</em> You, come here. <em>(Barney and Robin follow Ted in the kitchen).</em> While we're away this weekend can you keep an eye on him? Make sure he doesn't call her hotel.",Ted
4517,You want me to baby-sit him? 20 bucks. An hour. And money for pizza.,Barney
4518,Um yeah. How about you do it for free or every time we hang out you have to watch this. <em>(To Robin)</em> Come here my little baby. <em>(Ted and Robin are making out)</em>,Ted
4519,"OK, I'll do it! Stop being a couple.",Barney
4520,Marshall!,Robin
4521,Marshall! Marshall!,Ted
4522,"Ted, I know I shouldn't do this but I have to!",Marshall
4523,Everything we've worked so hard for...!,Ted
4524,"Hello, Lily Aldrin's room please. Thank you.",Marshall
4525,Hang up now!,Ted
4526,"Ted, I can't hang up now.",Marshall
4527,Hang up now! Hang up now! Hang up now! Hang up!,Ted
4528,Hello?! <em>(He hangs up)</em> A guy answered. There is... There is a guy in her room. I'm going down there.,Marshall
4529,No!,Barney
4530,"Dude, you can't...",Ted
4531,I have to go down there and I have to tell her I love her. I have to beg to take me back even if I have to tell on my knees.,Marshall
4532,"Marshall, you can't do that!",Robin
4533,Really? Why not?,Marshall
4534,"Because you're pathetic! I'm sorry. But right now, you are not Marshall. You are the miserable, whining, shampoo-sniffing ghost of Marshall and frankly, a guy like you doesn't have a sh*t in hell with a girl like Lily. You know who might have a sh*t somewhere down the line? Marshall. The real Marshall. But if you go down there now like this, you'll blow it for him and he's never gonna forgive you. Of course, whatever I say, you just will do the opposite so, have a great weekend, good luck screwing up your life. Come on, Robin... Is it still OK if we borrow the car?",Ted
4535,Bold. Bold to go for the car.,Barney
4536,What?,Ted
4537,I didn't say a thing.,Robin
4538,You think I was too hard on him.,Ted
4539,I didn't say a thing.,Robin
4540,I can't believe you're accusing me to be too hard on him. You're the one who said tough love.,Ted
4541,"Yeah, tough love, not hand the guy a noose.",Robin
4542,"Oh, but it's OK to hand him a 9 mm? Yeah. He told me. So you're a g*n nut?",Ted
4543,"No, I'm a g*n enthusiast.",Robin
4544,Do you know how many people are k*ll...,Ted
4545,The Second Amendment protects my right to bear arms...,Robin
4546,"Alright, alright. I was too hard on him.",Ted
4547,A little.,Robin
4548,"I'm gonna call Barney, see how they're doing.",Ted
4549,Barney.,Barney
4550,"Uh, hey. Where are you guys?",Ted
4551,We're at a fundraiser helping young women raise money for college.,Barney
4552,Strip-club. Nice. Is Marshall OK?,Ted
4553,"Yeah, he's here and he's great. Hang on. Marshall, tell Ted... Uh-oh.",Barney
4554,What? What uh-oh?,Ted
4555,He's gone.,Barney
4556,You lost him? I can't believe it! He's gonna go down to that hotel.,Ted
4557,"Crap, you're right. OK, here is the plan. Here is the plan. You go down to the hotel and find him. I'll stay here and get a lap dance. Bye Ted!",Barney
4558,Barney!<em>[End of the phone call]</em>,Ted
4559,Is there a hot tube at your uncle's place?,Robin
4560,A really nice one.,Ted
4561,"Hi. Uh, could you tell me what room Lily Aldrin's in? Thanks. Marshall!",Ted
4562,Hey.,Marshall
4563,What happened?,Ted
4564,"Well, I went up to Lily's floor...",Marshall
4565,"...and I had this little speech in my head. Everything I've been wanting to say to her all summer about love, loyalty, respect. I knocked on the door. <em>(A man is opening the door and Marshall is punching him in the face).",Marshall
4566,You knocked out Lily's new boyfriend?,Ted
4567,Yeah. It wasn't Lily's boyfriend.,Marshall
4568,What? Who was he?,Ted
4569,"Oh, this is so embarrassing. I could've sworn I have some change. I know, I know, I'm sorry. Oh, here we go. No that's, that's a button... It was a button. Do you take credit cards?",Lily
4570,"So Lily is not back in town and she doesn't have a boyfriend. That's good news, right?",Ted
4571,Yeah. I don't know. Those credit card charges were the only remaining connection I had to her. I don't know where she is or what she's doing. She was my whole life man and now she's... She's gone.,Marshall
4572,"You know, first day at college, I showed up, I was so freaked out and I got up to my room and there was my roommate, lying on the bed with his feet up on the wall. He had headphones on, a big smile on his face like he just didn't give a crap. Happy. Confident. Not afraid of anything. That guy was you. You before you met Lily.",Ted
4573,Ted.,Marshall
4574,Yeah.,Ted
4575,I was high that day. I was. I was so high I thought you were the dean.,Marshall
4576,"What I'm saying is, there's a version of you without Lily and... It's not this. You can't let Lily stole your identity the way that guy stole hers.",Ted
4577,"OK.OK! Resolved. Starting tomorrow, I'm going to start being OK. Cheers.",Marshall
4578,Cheers.,Ted
4579,Ted. Ted you should see this.,Robin
4580,"Oh, what now? Marshall? What are you doing?",Ted
4581,It's Sunday. It's pancakes day.,Marshall
4582,"Alright, see you guys later.",Robin
4583,I'll walk you out.,Ted
4584,See ya.,Marshall
4585,You just checked out Robin's ass.,Barney
4586,"What? No. I... Barney, I was...",Marshall
4587,"Dude, that's awesome! You're finally forgetting about that short redhead.",Barney
4588,Lily.,Marshall
4589,"Yes, Lily, thank you. That was gonna drive me crazy all night. Hey, Ted! Marshall's just checked out your girlfriend's ass.",Barney
4590,I did not Ted...,Marshall
4591,Awesome! You're finally getting better.,Ted
4592,"This is the moment I've been waiting for. Starting tonight, I'm gonna teach you how to live. Ted, you're out of chance, Marshall's in.",Barney
4593,Yes!,Ted
4594,"Oh, God!",Marshall
4595,"Marshall, being a single guy in New York city is like... Pfff... What does everybody like?",Barney
4596,Candy.,Marshall
4597,Yeah! It's like being in a candy store. You just walk right in and grab yourself some Whoppers. Yeah. Is Whoppers the best ones?,Barney
4598,Mounds.,Ted
4599,Milk Duds.,Barney
4600,Gobstoppers.,Ted
4601,Um...,Barney
4602,Dubble Bubbles.,Ted
4603,"Nice! Marshall, we're doing this. I am not taking no for an answer.",Barney
4604,Fine.,Marshall
4605,"Ted, what is wrong with you?",Marshall
4606,Lily.,Robin
4607,It is a great ass.,Lily
4608,Your hair is adorable!,Robin
4609,Thank you! <em>(They hug)</em>,Lily
4610,Hi. Have you met Marshall?,Barney
4611,"Hi. Look how sweaty my hands are! It's weird, right? Uh, sweat. Like this... Smelly water coming out of your skin. It was nice meeting you.",Marshall
4612,"I-I-I Hate to interrupt but, uh... Do you like magic?",Barney
4613,"Dude, you were awesome last night. You were charming, you were funny. You were totally working that girl.",Barney
4614,You went home with her!,Marshall
4615,"Yes, I did. But she told me that if it wasn't for me you would've had a sh*t with her. So in hypothetical terms, you scored last night! All right! Hypothetical high five! Nice! Tonight, we're gonna go to the bar...",Barney
4616,"Barney, no, I'm not going out with you ever again.",Marshall
4617,Come on! I'll teach you all my strategies!,Barney
4618,"Oh, really?",Marshall
4619,"My favorite, number seven. Create a mystery about yourself. That way, they become so intrigued that they have to hang out with you all night.",Barney
4620,"Oh, come on. Does that really work?",Marshall
4621,Maybe it does and maybe it doesn't.,Barney
4622,"Dammit that's intriguing! OK, I'm in.",Marshall
4623,You've gotta hear this.,Robin
4624,You will not believe what just happened.,Ted
4625,You go first.,Robin
4626,I find a 1939 penny on the subway. Just imagine the history this little copper guy's seen...,Ted
4627,Lily is back in town.,Robin
4628,And you let me go first?! Have you seen her?,Ted
4629,"Uh, yeah. I actually went apartment hunting with her today.",Robin
4630,How is she doing?,Ted
4631,You're not gonna like it.,Robin
4632,"I am doing great. This summer, best thing ever. San Francisco is so happening right now.",Lily
4633,She's happy? Marshall had the worst summer of his life and she's happy. And I suppose her art program was fulfilling or whatever.,Ted
4634,"Oh, the art program, best thing ever.",Lily
4635,"But the best part of SF - oh that's what we call San Francisco - the people. Even just riding around on the bus all summer, it was like a human tapestry.",Lily
4636,"Wow, I am so happy for you.",Robin
4637,"Oh, she's such a... godda... God! After what she did to Marshall, she should come back here devastated. Crawling over the broken glass of her own shame and regret.",Ted
4638,You never chose sides. I respect that.,Robin
4639,She's unbelievable! Unbelievable!,Ted
4640,Unbelievable? What's unbelievable?,Marshall
4641,"Uh, listen Marshall...",Ted
4642,Ted found a penny on the subway and it's old and that's interesting.,Robin
4643,Way to go.,Marshall
4644,"OK, first of all, that is interesting. Second, we have to tell him.",Ted
4645,"No, we don't. He's just starting to get better. Going out with Barney. How do you think he'll feel when he hears Lily's moved on?",Robin
4646,She's moved on?,Ted
4647,"Well, it happens. I've fallen out of love faster than that before. Sometimes, boom, with no warning whatsoever. One day we're in love, the next day, he's dead to me. But we're great! Honey?",Robin
4648,Let's review Barney's rules for mating without dating. Lesson two: corollary five.,Barney
4649,Make a beautiful woman feel self-conscious and unattractive and she'll be putty in your hands.,Marshall
4650,Excellent. Have you chosen your entrée?,Barney
4651,"I have. A sweet brunette, eight o'clock. Nine o'clock. Ten; thirty. She's walking to the bar.",Marshall
4652,"Her? Really? No, you're right. Ambition is the enemy of success. OK, hit it.",Barney
4653,Nice recovery. I think it's working.,Barney
4654,"Um, Amy, this is my friend Barney. Barney, this is Amy.",Marshall
4655,"Hi. Amy, do you like... magic?",Barney
4656,I hate you.,Marshall
4657,I am so sorry. It's a sickness. I'm the real v*ctim here.,Barney
4658,Twice! Twice in a row you took my candy! That was my candy!,Marshall
4659,I know but tonight...,Barney
4660,"No, forget it. You're such a jackass!",Marshall
4661,"OK, but no magic. <em>(He turns to Barney who disappeared).</em> How did you do that?",Marshall
4662,"I'm taking a leak, dumb-ass.",Barney
4663,"But I need the freedom to really chase my passion, which was painting but now, I think it's music, or spoken words. Maybe both. God, isn't life amazing.",Lily
4664,Yeah.,Ted
4665,It is so great to see you Ted. Ah! I'm gonna get the key for the lockbox.,Lily
4666,What?,Robin
4667,"She's miserable. She's realized she's made a huge mistake. Her and Marshall will be back together in a week, I love it!",Ted
4668,"No, you just want Lily to be miserable. The truth is she's happy.",Robin
4669,Trust me. I've known Lily for nine years.,Ted
4670,"Trust me, I'm a girl!",Robin
4671,Yeah. But you're Canadian.,Ted
4672,Why do you always have to bring that up?,Robin
4673,You're our weird neighbors!,Ted
4674,You bring it up every time...,Robin
4675,"No, alright. Five bucks says she still wants Marshall.",Ted
4676,You're on.,Robin
4677,Five American bucks.,Ted
4678,"Dammit! OK, so how do we get the truth out of her?",Robin
4679,"Tequila. It's her weakness. Three shots, she tells you the truth about anything.",Ted
4680,"Marshall Eriksen, suit up!",Barney
4681,No way.,Marshall
4682,Yeah you're good in that. Let's go.,Barney
4683,Wait. Empty your pockets. Come on.,Marshall
4684,Come on...,Barney
4685,Sleeves.,Marshall
4686,There is nothing in my sl...,Barney
